date,price,price
2020-01-01,3.78,166
2020-01-02,4.0,176
2020-01-03,4.0,176
2020-01-04,4.11,180
2020-01-05,4.445,195
2020-01-06,4.665,205
2020-01-07,4.445,195
2020-01-08,4.555,200
2020-01-09,4.545,199
2020-01-10,4.5,198
2020-01-11,4.4,193
2020-01-12,3.665,161
2020-01-13,3.78,166
2020-01-14,3.89,171
2020-01-15,3.78,166
2020-01-16,3.555,156
2020-01-17,3.89,171
2020-01-18,4.0,176
2020-01-19,3.78,166
2020-01-20,3.78,166
2020-01-21,4.0,176
2020-01-22,4.0,176
2020-01-23,4.0,176
2020-02-03,2.22,97
2020-02-04,2.335,102
2020-02-05,2.665,117
2020-02-06,3.11,136
2020-02-07,3.0,132
2020-02-08,3.0,132
2020-02-09,2.78,122
2020-02-10,2.78,122
2020-02-11,2.78,122
2020-02-12,2.555,112
2020-02-13,2.22,97
2020-02-14,2.335,102
2020-02-15,2.445,107
2020-02-16,2.78,122
2020-02-17,2.555,112
2020-02-18,2.445,107
2020-02-19,2.665,117
2020-02-20,2.665,117
2020-02-21,2.78,122
2020-02-22,2.89,127
2020-02-23,3.0,132
2020-02-24,2.89,127
2020-02-25,2.89,127
2020-02-26,2.89,127
2020-02-27,2.89,127
2020-02-28,2.665,117
2020-02-29,2.62,115
2020-03-01,2.78,122
2020-03-04,2.89,127
2020-03-05,2.89,127
2020-03-06,2.89,127
2020-03-07,2.89,127
2020-03-08,2.89,127
2020-03-09,2.89,127
2020-03-10,2.89,127
2020-03-10,3.07,135